Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
5/31/2013 0:29:34,57,,Original empirical research,"University of Toronto Press, The Canadian Journal of Sociology",2004,English,Canada,U.S. & Canada,"Pre-primary, Primary",Single-case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"Outside school (e.g. at the teacher's home), On-line / via web, in ""learning centres""","Yes, they charge a fee",Various class sizes discussed,"Large firm, Various","Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Olga,Journal Article,"Professional tutor, business leaders, not professional teachers",Raises concerns,The article talks about franchised private tutoring businesses. ,,,,
6/18/2013 21:31:47,58,,Original empirical research,Economics of Education Review,2007,English,Vietnam,Southeast Asia,"Primary, Secondary",Single-country / case,Quantitative,Human Capital,Supply & Demand / Economic Efficiency,Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Mike,Journal Article,Not defined,Addresses both benefits and concerns,,Vietnam Living Standards Survey,"Parents / household, Students, Policymakers, Schools",,Yes
6/18/2013 21:52:09,59,,Original empirical research,,2009,English,,Global / Worldwide,Secondary,Comparative,Quantitative,"Social Capital, Cultural Capital, Social Reproduction","Related to curriculum coverage / ed. quality / exam prep, Equity, Global Trend, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Mike,Dissertation,Not defined,Addresses both benefits and concerns,,PISA 2003,Students,"Gender (PT advantages girls), class/income",Yes
6/18/2013 22:41:10,60,,Author designs theoretical model private tutoring,The Developing Economy,1999,English,,Global / Worldwide,"Primary, Secondary",Theoretical model,None or unclear,Human Capital,Supply & Demand / Economic Efficiency,Not defined,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Mike,Journal Article,Not defined,Addresses both benefits and concerns,,,N/A,,No
6/5/2013 16:52:20,61,,Original empirical research,Sociology of Education,2011,English,"Korea, US","East Asia, U.S. & Canada",Secondary,Comparative,Quantitative,Parental involvement ,"Related to curriculum coverage / ed. quality / exam prep, Equity, parental involvement, Global Trend",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web","Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Peggy,Journal Article,Professional tutor,Addresses both benefits and concerns,"the mainstream system randomizes high school assignment.  therefore, parents have very little control over school selection.  private tutoring is viewed as offering tailored instruction, something that the schools cannot do.

""In contrast to
the highly standardized public education, parents
can ‘‘buy out’’ private tutoring and intervene to
tailor curriculum and instruction to the specific
needs of their children."" p.17


""anecdotal evidence suggests that shadow education has become a common phenomenon in developing countries, especially those that utilize central examination systems” p.7","Korean Education Longitudinal Study (KELS), conducted by the Korean Educational Research Institute (KEDI)",Students,"""growing influence of socioeconomic background on academic achievement might be realted to the recent trends in economic inequality and the resulting socioeconomic gap in private tutoring (Byun and Kim, 2010)."" p.18",Yes
6/5/2013 22:49:26,62,Davies,Review of other research,Phi Delta Kappan,2006,English,Canada,U.S. & Canada,"Pre-primary, Primary, Secondary",Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Efficency",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",,Large firm,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,"""learning centers""",Addresses both benefits and concerns,,,,,
6/18/2013 22:30:20,63,,Original empirical research,Asia Pacific Educ. Rev.,2010,English,South Korea,East Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear,"Equity, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Olga,Journal Article,Institution / Professional tutor,Addresses both benefits and concerns,,"Korean panel data
The Korean Labor and Income Panel Survey (KLIPS) data",Parents / household,Socioeconomic,Yes
6/18/2013 22:50:42,64,,Original empirical research,Economics of Education Review,2005,English,Greek,Western Europe,Secondary,Single-country / case,Quantitative,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,Preparation for exams to make student more competitive,,Mike,Journal Article,Institution / Professional tutor,Raises concerns,,Greek data set of 10% of 1999 university entrants ,Students,Income,Yes
6/6/2013 8:22:19,66,,,Education Research Institute,2010,English,Examples: USA and India,Global / Worldwide,Secondary,Single-case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,On-line / via web,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,Professional tutor,Addresses both benefits and concerns,,,,,
6/18/2013 20:37:03,68,,Original empirical research," École des hautes études commerciales, Institut dè́conomie appliquée.",1998,English,,Global / Worldwide,"Primary, Secondary",,Quantitative,Human Capital,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,Not defined,Various class sizes discussed,Various,Make up for perceived failure in the mainstream system / school,,Olga,Journal Article,Classroom teacher,Addresses both benefits and concerns,,,N/A,,No
1/24/2014 12:29:23,69,,Review of other research,Asia Pacific Education Review,2010,English,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Supply & Demand / Economic Efficiency, Global Trend",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,"Individual operator, Small firm, Large firm, Various","Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student",Raises concerns,,,"Parents / household, Students, Census data",,No
5/31/2013 18:29:52,70,,"Original empirical research, Policy analysis","Education Research Institute, Seoul National University",2010,English,South Korea,East Asia,"Primary, Secondary",Comparative,Quantitative,conceptual framework (sociological perspective and public policy perspective),"Related to curriculum coverage / ed. quality / exam prep, Equity, Efficency, After-school program was designed to reduce private tutoring",Both,Outside school (e.g. at the teacher's home),"Yes, they charge a fee",Various class sizes discussed,after-school programs are supported by the government,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, To provide extra enrichment activities (sports or arts)",,Olga,Journal Article,Professional tutor,Addresses both benefits and concerns,,,,,
